"Nombre","Latitud","Longitud"
"PILA SECA SAN PEDRO TLAQUEPAQUE","20.641781","-103.316356"
"CENTRO CULTURAL EL REFUGIO SAN PEDRO TLAQUEPAQUE","20.642337","-103.312755"
"MUSEO PANTALEON PANDURO SAN PEDRO TLAQUEPAQUE","20.642631","-103.312775"
"INFRAESTRUCTURA CARRETERA GUADALAJARA","20.6427515","-103.341588"
"CENTRO DE SALUD EL COLLI ZAPOPAN","20.644001","-103.433001"
"CENTRO DE SALUD EL ROSARIO TONALA","20.644201","-103.262001"
"CENTRO CULTURAL LA FERRO GUADALAJARA","20.644514","-103.349676"
"CEMENTERIOS SAN PEDRO TLAQUEPAQUE","20.644557","-103.314388"
"BIBLIOTECA AGUSTIN YANEZ GUADALAJARA","20.644704","-103.328358"
"TALLER MECANICO GUADALAJARA","20.646017","-103.324406"
"OFICINA REGIONAL DE ATENCION REGION CENTRO GUADALAJARA","20.645969","-103.327719"
"RIO NILO GUADALAJARA","20.646466","-103.280694"
"CENTRO DE SALUD TALA TALA","20.647301","-103.708001"
"DISPENSARIO MEDICO Y CLINICA DENTAL DE LA ''U.A.P.S. TETLAN'' GUADALAJARA","20.647784","-103.279348"
"TANQUE SUR GUADALAJARA","20.648078","-103.372889"
"UNEMES SALUD MENTAL TONALA TONALA","20.648501","-103.228001"
"CENTRO DE SALUD PARAISOS DEL COLLI ZAPOPAN","20.649201","-103.449001"
"C.D.C. NO. 7 EL COLLI ZAPOPAN","20.64916974","-103.4551728"
"CENTRO CULTURAL PARAISOS DEL COLLI ZAPOPAN","20.649317","-103.453555"
"CENTRO DE ATENCION PRIMARIA EN ADICCIONES NUEVA VIDA TONALA 1 TONALA","20.649801","-103.218001"
"CENTRO DE SALUD LOMA BONITA TONALA","20.652901","-103.250001"
"TANQUE REVOLUCION GUADALAJARA","20.653697","-103.314928"
"UNIDAD ESPECIALIZADA EN ATENCION OBSTETRICA Y CUIDADOS NEONATALES TALA TALA","20.653701","-103.710001"
"CENTRO DE SALUD EL ZAPOTE ZAPOPAN","20.654801","-103.417001"
"POZO 15 GUADALAJARA","20.658089","-103.348801"
"CENTRO DE ATENCION PRIMARIA EN ADICCIONES NUEVA VIDA ZAPOPAN II ZAPOPAN","20.658201","-103.447001"
"CENTRO DE SALUD ZALATITAN TONALA","20.658401","-103.263001"
